session_id,model,testgen_model,oracle,rounds,units_analyzed,functions_verified,cost_usd,tokens,incoherent_oracles_dropped,static_findings,execution_only_bugs,verification_gap_rate,confirmed,confirmed_static,confirmed_reliability_gap,refuted,confirmation_rate,inconclusive,not_execution_testable,verified_fixed,not_fixed,verified_fix_rate
20260804_112913_a457d57d,gpt-oss-120b,gpt-oss-120b,crash,5,0,0,0.0,0,0,0,0,,,,,,,,,,,
20260804_112913_649bdd46,gpt-oss-120b,gpt-oss-120b,crash,5,5,0,0.0,0,0,0,0,,0,0,0,0,,0,0,,,
20260804_112913_78de71e1,gpt-oss-120b,gpt-oss-120b,crash,5,7,0,0.0,0,0,0,0,,0,0,0,0,,0,0,,,
20260804_112913_338e746c,gpt-oss-120b,gpt-oss-120b,crash,5,13,0,0.0,0,0,0,0,,0,0,0,0,,0,0,,,
20260804_112913_d004f987,gpt-oss-120b,gpt-oss-120b,crash,5,5,1,0.0,18752,0,0,0,,0,0,0,0,,0,0,,,
20260804_113050_e23dc24d,gpt-oss-120b,gpt-oss-120b,crash,5,0,0,0.0,0,0,0,0,,,,,,,,,,,
20260804_113032_d6d2c316,gpt-oss-120b,gpt-oss-120b,crash,5,9,0,0.0,0,0,0,0,,0,0,0,0,,0,0,,,
20260804_112955_60d8df54,gpt-oss-120b,gpt-oss-120b,crash,5,17,0,0.0,0,0,0,0,,0,0,0,0,,0,0,,,
20260804_112913_a86b32a0,gpt-oss-120b,gpt-oss-120b,crash,5,23,2,0.0,13537,0,0,0,,0,0,0,0,,0,0,,,
20260804_113050_ff4ae11c,gpt-oss-120b,gpt-oss-120b,crash,5,18,0,0.0,0,0,0,0,,0,0,0,0,,0,0,,,
20260804_113223_8f5d1255,gpt-oss-120b,gpt-oss-120b,crash,5,10,0,0.0,0,0,0,0,,0,0,0,0,,0,0,,,
20260804_113238_d1efbd7c,gpt-oss-120b,gpt-oss-120b,crash,5,14,0,0.0,0,0,0,0,,0,0,0,0,,0,0,,,
20260804_113402_2d12408b,gpt-oss-120b,gpt-oss-120b,crash,5,6,0,0.0,0,0,0,0,,0,0,0,0,,0,0,,,
20260804_112943_ae04ea49,gpt-oss-120b,gpt-oss-120b,crash,5,54,0,0.0,0,0,0,0,,0,0,0,0,,0,0,,,
20260804_112913_53815e42,gpt-oss-120b,gpt-oss-120b,crash,5,56,1,0.0,11466,0,0,0,,0,0,0,0,,0,0,,,
20260804_113137_d38ca929,gpt-oss-120b,gpt-oss-120b,crash,5,29,1,0.0,17514,0,0,0,,0,0,0,0,,0,0,,,
20260804_112913_38f79e66,gpt-oss-120b,gpt-oss-120b,crash,5,33,3,0.0,40893,0,1,2,1.0,2,0,2,0,1.0,0,0,1,0,1.0
20260804_113509_f99fa43a,gpt-oss-120b,gpt-oss-120b,crash,5,7,0,0.0,0,0,2,0,,0,0,0,0,,0,0,,,
20260804_113126_1386a322,gpt-oss-120b,gpt-oss-120b,crash,5,58,0,0.0,0,0,0,0,,0,0,0,0,,0,0,,,
20260804_113550_856dd772,gpt-oss-120b,gpt-oss-120b,crash,5,17,0,0.0,0,0,0,0,,0,0,0,0,,0,0,,,
20260804_113719_4ef29f66,gpt-oss-120b,gpt-oss-120b,crash,5,4,0,0.0,0,0,0,0,,0,0,0,0,,0,0,,,
20260804_113735_d7089222,gpt-oss-120b,gpt-oss-120b,crash,5,5,0,0.0,0,0,0,0,,0,0,0,0,,0,0,,,
20260804_113806_658af326,gpt-oss-120b,gpt-oss-120b,crash,5,15,0,0.0,0,0,0,0,,0,0,0,0,,0,0,,,
20260804_113554_58076d0c,gpt-oss-120b,gpt-oss-120b,crash,5,46,0,0.0,0,0,0,0,,0,0,0,0,,0,0,,,
20260804_113743_2122100e,gpt-oss-120b,gpt-oss-120b,crash,5,18,2,0.0,10580,0,1,0,,0,0,0,0,,0,1,,,
20260804_114038_d7a4aa23,gpt-oss-120b,gpt-oss-120b,crash,5,0,0,0.0,0,0,0,0,,,,,,,,,,,
20260804_112913_6601aa44,gpt-oss-120b,gpt-oss-120b,crash,5,23,6,0.0,103476,0,0,4,1.0,4,0,4,0,1.0,0,0,2,2,0.5
20260804_113938_3d73399b,gpt-oss-120b,gpt-oss-120b,crash,5,13,0,0.0,0,0,0,0,,0,0,0,0,,0,0,,,
20260804_113324_a9de48e6,gpt-oss-120b,gpt-oss-120b,crash,5,18,3,0.0,48563,0,0,2,1.0,3,0,3,0,1.0,0,0,2,1,0.6666666666666666
20260804_114037_32ecf516,gpt-oss-120b,gpt-oss-120b,crash,5,14,1,0.0,10313,0,0,0,,0,0,0,0,,0,0,,,
20260804_114153_5100c18f,gpt-oss-120b,gpt-oss-120b,crash,5,12,0,0.0,0,0,0,0,,0,0,0,0,,0,0,,,
20260804_113439_10489655,gpt-oss-120b,gpt-oss-120b,crash,5,54,3,0.0,36719,0,5,0,,0,0,0,0,,0,0,,,
20260804_113614_0736c8dd,gpt-oss-120b,gpt-oss-120b,crash,5,48,1,0.0,22232,0,3,0,,0,0,0,0,,0,0,,,
20260804_114320_9cad8efb,gpt-oss-120b,gpt-oss-120b,crash,5,5,0,0.0,0,0,1,0,,0,0,0,0,,0,0,,,
20260804_114058_74a6fb5b,gpt-oss-120b,gpt-oss-120b,crash,5,76,0,0.0,0,0,0,0,,0,0,0,0,,0,0,,,
20260804_114038_11853534,gpt-oss-120b,gpt-oss-120b,crash,5,43,5,0.0,55043,0,1,1,1.0,1,0,1,0,1.0,0,0,1,0,1.0
20260804_114044_d4b7300f,gpt-oss-120b,gpt-oss-120b,crash,5,81,4,0.0,61069,0,0,0,,0,0,0,0,,0,0,,,
20260804_113634_1ad41b9a,gpt-oss-120b,gpt-oss-120b,crash,5,67,7,0.0,162117,0,8,1,0.3333333333333333,1,0,1,0,1.0,2,4,0,1,0.0
20260804_114306_c194ef3a,gpt-oss-120b,gpt-oss-120b,crash,5,17,12,0.0,209322,0,3,0,,0,0,0,0,,0,3,,,
