session_id,model,testgen_model,oracle,rounds,units_analyzed,functions_verified,cost_usd,tokens,incoherent_oracles_dropped,static_findings,execution_only_bugs,verification_gap_rate,confirmed,confirmed_static,confirmed_reliability_gap,refuted,confirmation_rate,inconclusive,not_execution_testable,verified_fixed,not_fixed,verified_fix_rate
20260804_121723_d79fb5f3,gpt-5-mini,gpt-5-mini,crash,5,0,0,0.0,0,0,0,0,,,,,,,,,,,
20260804_121723_042c7d1d,gpt-5-mini,gpt-5-mini,crash,5,5,0,0.0,0,0,0,0,,0,0,0,0,,0,0,,,
20260804_121723_896e93db,gpt-5-mini,gpt-5-mini,crash,5,7,0,0.0,0,0,0,0,,0,0,0,0,,0,0,,,
20260804_121723_188f4eba,gpt-5-mini,gpt-5-mini,crash,5,13,0,0.0,0,0,0,0,,0,0,0,0,,0,0,,,
20260804_121842_b2541eac,gpt-5-mini,gpt-5-mini,crash,5,9,0,0.0,0,0,0,0,,0,0,0,0,,0,0,,,
20260804_121939_e838f34e,gpt-5-mini,gpt-5-mini,crash,5,0,0,0.0,0,0,0,0,,,,,,,,,,,
20260804_121805_a9c25955,gpt-5-mini,gpt-5-mini,crash,5,17,0,0.0,0,0,0,0,,0,0,0,0,,0,0,,,
20260804_121939_f60165dd,gpt-5-mini,gpt-5-mini,crash,5,18,0,0.0,0,0,0,0,,0,0,0,0,,0,0,,,
20260804_121723_db494fe4,gpt-5-mini,gpt-5-mini,crash,5,5,1,0.206687,28096,0,0,0,,0,0,0,0,,0,0,,,
20260804_122157_770dec77,gpt-5-mini,gpt-5-mini,crash,5,10,0,0.0,0,0,0,0,,0,0,0,0,,0,0,,,
20260804_121753_fd08840d,gpt-5-mini,gpt-5-mini,crash,5,54,0,0.0,0,0,0,0,,0,0,0,0,,0,0,,,
20260804_121723_8c5dd4e5,gpt-5-mini,gpt-5-mini,crash,5,23,2,0.214955,27254,0,0,0,,0,0,0,0,,0,0,,,
20260804_122346_743cf115,gpt-5-mini,gpt-5-mini,crash,5,6,0,0.0,0,0,0,0,,0,0,0,0,,0,0,,,
20260804_122258_5d33fea8,gpt-5-mini,gpt-5-mini,crash,5,14,0,0.0,0,0,0,0,,0,0,0,0,,0,0,,,
20260804_121951_f259901e,gpt-5-mini,gpt-5-mini,crash,5,58,0,0.0,0,0,0,0,,0,0,0,0,,0,0,,,
20260804_121723_96ba6b62,gpt-5-mini,gpt-5-mini,crash,5,56,1,0.19037,22277,0,0,0,,0,0,0,0,,0,0,,,
20260804_122547_50e332a8,gpt-5-mini,gpt-5-mini,crash,5,17,0,0.0,0,0,0,0,,0,0,0,0,,0,0,,,
20260804_122424_b155113c,gpt-5-mini,gpt-5-mini,crash,5,7,0,0.0,0,0,2,0,,0,0,0,0,,0,0,,,
20260804_122130_03ab9698,gpt-5-mini,gpt-5-mini,crash,5,29,1,0.247237,33738,0,0,0,,0,0,0,0,,0,0,,,
20260804_122803_86929142,gpt-5-mini,gpt-5-mini,crash,5,4,0,0.0,0,0,0,0,,0,0,0,0,,0,0,,,
20260804_122828_87ad1a13,gpt-5-mini,gpt-5-mini,crash,5,5,0,0.0,0,0,0,0,,0,0,0,0,,0,0,,,
20260804_122632_421680e3,gpt-5-mini,gpt-5-mini,crash,5,46,0,0.0,0,0,0,0,,0,0,0,0,,0,0,,,
20260804_123119_85311155,gpt-5-mini,gpt-5-mini,crash,5,15,0,0.0,0,0,0,0,,0,0,0,0,,0,0,,,
20260804_121723_197e9053,gpt-5-mini,gpt-5-mini,crash,5,33,3,0.498823,69917,0,1,2,1.0,2,0,2,0,1.0,0,0,0,1,0.0
20260804_123254_cc66d196,gpt-5-mini,gpt-5-mini,crash,5,13,0,0.0,0,0,0,0,,0,0,0,0,,0,0,,,
20260804_123418_a0563bc9,gpt-5-mini,gpt-5-mini,crash,5,0,0,0.0,0,0,0,0,,,,,,,,,,,
20260804_122859_38f0a86f,gpt-5-mini,gpt-5-mini,crash,5,18,1,0.175145,23414,0,1,0,,0,0,0,0,,0,1,,,
20260804_123256_ca337a07,gpt-5-mini,gpt-5-mini,crash,5,14,1,0.121005,15336,0,0,0,,0,0,0,0,,0,0,,,
20260804_122734_318ea949,gpt-5-mini,gpt-5-mini,crash,5,48,0,0.0,0,0,3,0,,0,0,0,0,,0,0,,,
20260804_122327_3a6e0fae,gpt-5-mini,gpt-5-mini,crash,5,18,3,0.41362,60307,0,0,2,1.0,3,0,3,0,1.0,0,0,3,0,1.0
20260804_123759_2bcac6c9,gpt-5-mini,gpt-5-mini,crash,5,12,0,0.0,0,0,0,0,,0,0,0,0,,0,0,,,
20260804_122423_42e92e1f,gpt-5-mini,gpt-5-mini,crash,5,54,5,0.537065,71102,0,5,0,,0,0,0,0,,0,0,,,
20260804_121723_d536b561,gpt-5-mini,gpt-5-mini,crash,5,23,5,0.905157,122162,0,0,3,1.0,3,0,3,0,1.0,0,0,2,1,0.6666666666666666
20260804_124054_e00260e9,gpt-5-mini,gpt-5-mini,crash,5,5,0,0.0,0,0,1,0,,0,0,0,0,,0,0,,,
20260804_123642_ff043a8b,gpt-5-mini,gpt-5-mini,crash,5,76,0,0.0,0,0,0,0,,0,0,0,0,,0,0,,,
20260804_123418_2f9e30ab,gpt-5-mini,gpt-5-mini,crash,5,43,2,0.36853,49447,0,1,1,1.0,1,0,1,0,1.0,0,0,0,1,0.0
20260804_123913_fd48e36b,gpt-5-mini,gpt-5-mini,crash,5,17,12,0.810817,96387,0,3,0,,0,0,0,0,,0,3,,,
20260804_122734_6f7048a7,gpt-5-mini,gpt-5-mini,crash,5,67,7,0.929105,121814,0,8,1,0.3333333333333333,1,0,1,0,1.0,2,4,1,0,1.0
20260804_123534_71fde9d5,gpt-5-mini,gpt-5-mini,crash,5,81,4,0.751045,97606,0,0,0,,0,0,0,0,,0,0,,,
20260804_123813_af216c2f,gpt-5-mini,gpt-5-mini,crash,5,36,23,1.423185,176319,0,12,0,,0,0,0,0,,8,1,,,
