session_id,model,testgen_model,oracle,rounds,units_analyzed,functions_verified,cost_usd,tokens,incoherent_oracles_dropped,static_findings,execution_only_bugs,verification_gap_rate,confirmed,confirmed_static,confirmed_reliability_gap,refuted,confirmation_rate,inconclusive,not_execution_testable,verified_fixed,not_fixed,verified_fix_rate
20260804_132211_ddb1e0d4,gpt-5.4-mini,gpt-5.4-mini,crash,5,0,0,0.0,0,0,0,0,,,,,,,,,,,
20260804_132211_b6065063,gpt-5.4-mini,gpt-5.4-mini,crash,5,5,0,0.0,0,0,0,0,,0,0,0,0,,0,0,,,
20260804_132211_7fefc302,gpt-5.4-mini,gpt-5.4-mini,crash,5,7,0,0.0,0,0,0,0,,0,0,0,0,,0,0,,,
20260804_132211_5944e7c2,gpt-5.4-mini,gpt-5.4-mini,crash,5,5,1,0.041958,17334,0,0,0,,0,0,0,0,,0,0,,,
20260804_132211_83f25dd1,gpt-5.4-mini,gpt-5.4-mini,crash,5,13,0,0.0,0,0,0,0,,0,0,0,0,,0,0,,,
20260804_132329_48bf72b5,gpt-5.4-mini,gpt-5.4-mini,crash,5,0,0,0.0,0,0,0,0,,,,,,,,,,,
20260804_132327_f69033bb,gpt-5.4-mini,gpt-5.4-mini,crash,5,9,0,0.0,0,0,0,0,,0,0,0,0,,0,0,,,
20260804_132253_16dde9fd,gpt-5.4-mini,gpt-5.4-mini,crash,5,17,0,0.0,0,0,0,0,,0,0,0,0,,0,0,,,
20260804_132211_b78dee9c,gpt-5.4-mini,gpt-5.4-mini,crash,5,23,2,0.018723,10384,0,0,0,,0,0,0,0,,0,0,,,
20260804_132329_3b98e163,gpt-5.4-mini,gpt-5.4-mini,crash,5,18,0,0.0,0,0,0,0,,0,0,0,0,,0,0,,,
20260804_132455_34b3abd3,gpt-5.4-mini,gpt-5.4-mini,crash,5,10,0,0.0,0,0,0,0,,0,0,0,0,,0,0,,,
20260804_132516_1a0531da,gpt-5.4-mini,gpt-5.4-mini,crash,5,14,0,0.0,0,0,0,0,,0,0,0,0,,0,0,,,
20260804_132639_2b932e9b,gpt-5.4-mini,gpt-5.4-mini,crash,5,6,0,0.0,0,0,0,0,,0,0,0,0,,0,0,,,
20260804_132211_1ef198c0,gpt-5.4-mini,gpt-5.4-mini,crash,5,33,3,0.07334,41076,0,1,2,1.0,2,0,2,0,1.0,0,0,0,2,0.0
20260804_132241_77002817,gpt-5.4-mini,gpt-5.4-mini,crash,5,54,0,0.0,0,0,0,0,,0,0,0,0,,0,0,,,
20260804_132211_c0df4cfc,gpt-5.4-mini,gpt-5.4-mini,crash,5,56,1,0.012204,6387,0,0,0,,0,0,0,0,,0,0,,,
20260804_132435_3f47ccbe,gpt-5.4-mini,gpt-5.4-mini,crash,5,29,1,0.0385,16573,0,0,0,,0,0,0,0,,0,0,,,
20260804_132211_c83a53bf,gpt-5.4-mini,gpt-5.4-mini,crash,5,23,5,0.149377,78784,0,0,4,1.0,4,0,4,0,1.0,0,0,0,3,0.0
20260804_132734_c0f353c3,gpt-5.4-mini,gpt-5.4-mini,crash,5,7,0,0.0,0,0,2,0,,0,0,0,0,,0,0,,,
20260804_132909_473ea18f,gpt-5.4-mini,gpt-5.4-mini,crash,5,4,0,0.0,0,0,0,0,,0,0,0,0,,0,0,,,
20260804_132554_cec74872,gpt-5.4-mini,gpt-5.4-mini,crash,5,18,3,0.074692,49180,0,0,2,1.0,3,0,3,0,1.0,0,0,1,2,0.3333333333333333
20260804_132804_c2f5d5c1,gpt-5.4-mini,gpt-5.4-mini,crash,5,17,0,0.0,0,0,0,0,,0,0,0,0,,0,0,,,
20260804_132933_8685f81d,gpt-5.4-mini,gpt-5.4-mini,crash,5,5,0,0.0,0,0,0,0,,0,0,0,0,,0,0,,,
20260804_132420_f617df04,gpt-5.4-mini,gpt-5.4-mini,crash,5,58,0,0.0,0,0,0,0,,0,0,0,0,,0,0,,,
20260804_132946_bc28f6d2,gpt-5.4-mini,gpt-5.4-mini,crash,5,15,0,0.0,0,0,0,0,,0,0,0,0,,0,0,,,
20260804_133115_aef980b9,gpt-5.4-mini,gpt-5.4-mini,crash,5,0,0,0.0,0,0,0,0,,,,,,,,,,,
20260804_133002_b600221a,gpt-5.4-mini,gpt-5.4-mini,crash,5,13,0,0.0,0,0,0,0,,0,0,0,0,,0,0,,,
20260804_133007_3d777949,gpt-5.4-mini,gpt-5.4-mini,crash,5,14,1,0.0119,6087,0,0,0,,0,0,0,0,,0,0,,,
20260804_132943_3b1fd5fb,gpt-5.4-mini,gpt-5.4-mini,crash,5,18,1,0.040562,16647,0,1,0,,0,0,0,0,,0,1,,,
20260804_132810_075e0cbc,gpt-5.4-mini,gpt-5.4-mini,crash,5,46,0,0.0,0,0,0,0,,0,0,0,0,,0,0,,,
20260804_132715_d8260c85,gpt-5.4-mini,gpt-5.4-mini,crash,5,54,0,0.0,0,0,5,0,,0,0,0,0,,0,0,,,
20260804_133217_b708fadd,gpt-5.4-mini,gpt-5.4-mini,crash,5,12,0,0.0,0,0,0,0,,0,0,0,0,,0,0,,,
20260804_133329_1cdd0118,gpt-5.4-mini,gpt-5.4-mini,crash,5,5,0,0.0,0,0,1,0,,0,0,0,0,,0,0,,,
20260804_132812_ad27ada2,gpt-5.4-mini,gpt-5.4-mini,crash,5,48,0,0.0,0,0,3,0,,0,0,0,0,,0,0,,,
20260804_133115_78ca6edc,gpt-5.4-mini,gpt-5.4-mini,crash,5,43,1,0.045716,28660,0,1,0,,0,0,0,0,,0,0,,,
20260804_133153_b83e4c14,gpt-5.4-mini,gpt-5.4-mini,crash,5,76,0,0.0,0,0,0,0,,0,0,0,0,,0,0,,,
20260804_133322_5fb918ad,gpt-5.4-mini,gpt-5.4-mini,crash,5,17,12,0.365341,161341,0,3,0,,0,0,0,0,,0,3,,,
20260804_132821_9f0d59b9,gpt-5.4-mini,gpt-5.4-mini,crash,5,67,6,0.319791,177173,0,8,1,0.3333333333333333,1,0,1,0,1.0,2,4,0,1,0.0
20260804_133120_d4e73335,gpt-5.4-mini,gpt-5.4-mini,crash,5,81,4,0.143728,63902,0,0,1,1.0,1,0,1,0,1.0,0,0,0,1,0.0
20260804_133245_bb0508ac,gpt-5.4-mini,gpt-5.4-mini,crash,5,36,23,0.966615,409810,0,12,0,,0,0,0,0,,8,1,,,
