session_id,model,testgen_model,oracle,rounds,units_analyzed,functions_verified,cost_usd,tokens,incoherent_oracles_dropped,static_findings,execution_only_bugs,verification_gap_rate,confirmed,confirmed_static,confirmed_reliability_gap,refuted,confirmation_rate,inconclusive,not_execution_testable,verified_fixed,not_fixed,verified_fix_rate
20260804_135408_c9db1ed4,gpt-5.6-luna,gpt-5.6-luna,crash,5,0,0,0.0,0,0,0,0,,,,,,,,,,,
20260804_135408_48b61139,gpt-5.6-luna,gpt-5.6-luna,crash,5,5,0,0.0,0,0,0,0,,0,0,0,0,,0,0,,,
20260804_135408_00baf115,gpt-5.6-luna,gpt-5.6-luna,crash,5,7,0,0.0,0,0,0,0,,0,0,0,0,,0,0,,,
20260804_135408_3420d218,gpt-5.6-luna,gpt-5.6-luna,crash,5,13,0,0.0,0,0,0,0,,0,0,0,0,,0,0,,,
20260804_135408_a46f7943,gpt-5.6-luna,gpt-5.6-luna,crash,5,5,1,0.0,22226,0,0,0,,0,0,0,0,,0,0,,,
20260804_135605_4472b857,gpt-5.6-luna,gpt-5.6-luna,crash,5,0,0,0.0,0,0,0,0,,,,,,,,,,,
20260804_135526_619973f9,gpt-5.6-luna,gpt-5.6-luna,crash,5,9,0,0.0,0,0,0,0,,0,0,0,0,,0,0,,,
20260804_135450_5e7b38d5,gpt-5.6-luna,gpt-5.6-luna,crash,5,17,0,0.0,0,0,0,0,,0,0,0,0,,0,0,,,
20260804_135605_2a8c3b36,gpt-5.6-luna,gpt-5.6-luna,crash,5,18,0,0.0,0,0,0,0,,0,0,0,0,,0,0,,,
20260804_135408_f448dad3,gpt-5.6-luna,gpt-5.6-luna,crash,5,23,2,0.0,15911,0,0,0,,0,0,0,0,,0,0,,,
20260804_135754_2ac67986,gpt-5.6-luna,gpt-5.6-luna,crash,5,10,0,0.0,0,0,0,0,,0,0,0,0,,0,0,,,
20260804_135756_40af5043,gpt-5.6-luna,gpt-5.6-luna,crash,5,14,0,0.0,0,0,0,0,,0,0,0,0,,0,0,,,
20260804_135921_ac9ad197,gpt-5.6-luna,gpt-5.6-luna,crash,5,6,0,0.0,0,0,0,0,,0,0,0,0,,0,0,,,
20260804_135438_35c8b97e,gpt-5.6-luna,gpt-5.6-luna,crash,5,54,0,0.0,0,0,0,0,,0,0,0,0,,0,0,,,
20260804_135633_bdafc214,gpt-5.6-luna,gpt-5.6-luna,crash,5,29,1,0.0,23420,0,0,0,,0,0,0,0,,0,0,,,
20260804_135408_b2facafd,gpt-5.6-luna,gpt-5.6-luna,crash,5,56,1,0.0,15371,0,0,0,,0,0,0,0,,0,0,,,
20260804_135620_a90b0b73,gpt-5.6-luna,gpt-5.6-luna,crash,5,58,0,0.0,0,0,0,0,,0,0,0,0,,0,0,,,
20260804_140134_d09bd28d,gpt-5.6-luna,gpt-5.6-luna,crash,5,17,0,0.0,0,0,0,0,,0,0,0,0,,0,0,,,
20260804_140005_cb34162c,gpt-5.6-luna,gpt-5.6-luna,crash,5,7,0,0.0,0,0,2,0,,0,0,0,0,,0,0,,,
20260804_140356_3c2d1a33,gpt-5.6-luna,gpt-5.6-luna,crash,5,4,0,0.0,0,0,0,0,,0,0,0,0,,0,0,,,
20260804_135408_06751749,gpt-5.6-luna,gpt-5.6-luna,crash,5,33,3,0.0,65741,0,1,1,1.0,1,0,1,0,1.0,0,0,0,1,0.0
20260804_140421_a0a8549e,gpt-5.6-luna,gpt-5.6-luna,crash,5,5,0,0.0,0,0,0,0,,0,0,0,0,,0,0,,,
20260804_135854_19ce0ea9,gpt-5.6-luna,gpt-5.6-luna,crash,5,18,3,0.0,40320,0,0,2,1.0,3,0,3,0,1.0,0,0,3,0,1.0
20260804_140136_0407e980,gpt-5.6-luna,gpt-5.6-luna,crash,5,46,0,0.0,0,0,0,0,,0,0,0,0,,0,0,,,
20260804_140452_1c479931,gpt-5.6-luna,gpt-5.6-luna,crash,5,15,0,0.0,0,0,0,0,,0,0,0,0,,0,0,,,
20260804_140624_00048fa8,gpt-5.6-luna,gpt-5.6-luna,crash,5,0,0,0.0,0,0,0,0,,,,,,,,,,,
20260804_135957_666985e1,gpt-5.6-luna,gpt-5.6-luna,crash,5,54,0,0.0,0,0,5,0,,0,0,0,0,,0,0,,,
20260804_140608_ddc683b9,gpt-5.6-luna,gpt-5.6-luna,crash,5,13,0,0.0,0,0,0,0,,0,0,0,0,,0,0,,,
20260804_140622_a685c4f0,gpt-5.6-luna,gpt-5.6-luna,crash,5,14,1,0.0,9407,0,0,0,,0,0,0,0,,0,0,,,
20260804_140428_09b1c2b3,gpt-5.6-luna,gpt-5.6-luna,crash,5,18,1,0.0,20526,0,1,0,,0,0,0,0,,0,1,,,
